2011/2012,Spain,FC Barcelona,73
2011/2012,Spain,Real Madrid CF,70
2015/2016,Spain,Real Madrid CF,70
2009/2010,England,Chelsea,68
2012/2013,Spain,Real Madrid CF,67
2015/2016,Spain,FC Barcelona,67
2014/2015,Spain,Real Madrid CF,65
2009/2010,Netherlands,Ajax,64
2013/2014,Spain,FC Barcelona,64
2014/2015,Spain,FC Barcelona,64
2012/2013,Spain,FC Barcelona,63
2013/2014,England,Manchester City,63
2013/2014,Spain,Real Madrid CF,63
2008/2009,Spain,FC Barcelona,61
2010/2011,Spain,Real Madrid CF,61
2009/2010,Spain,Real Madrid CF,60
2015/2016,France,Paris Saint-Germain,59
2012/2013,Netherlands,PSV,58
2009/2010,Spain,FC Barcelona,57
2011/2012,Netherlands,PSV,57
2012/2013,Germany,FC Bayern Munich,56
2011/2012,England,Manchester City,55
2015/2016,Scotland,Celtic,55
2009/2010,Switzerland,FC Basel,54
2008/2009,Switzerland,BSC Young Boys,53
2013/2014,England,Liverpool,53
2009/2010,England,Manchester United,52
2009/2010,Scotland,Rangers,52
2011/2012,England,Manchester United,52
2012/2013,Scotland,Celtic,52
2014/2015,France,Paris Saint-Germain,52
2015/2016,Portugal,SL Benfica,52
2008/2009,Germany,VfL Wolfsburg,51
2010/2011,Scotland,Celtic,51
2013/2014,France,Paris Saint-Germain,51
2015/2016,Germany,FC Bayern Munich,51
2013/2014,Scotland,Celtic,50
2014/2015,Netherlands,PSV,50
2014/2015,Scotland,Celtic,50
2015/2016,Switzerland,BSC Young Boys,50
2008/2009,Spain,Real Madrid CF,49
2010/2011,Netherlands,PSV,49
2010/2011,England,Manchester United,49
2011/2012,Germany,FC Bayern Munich,49
2011/2012,Netherlands,Ajax,49
2013/2014,Spain,Atlético Madrid,49
2015/2016,Germany,Borussia Dortmund,49
2015/2016,Netherlands,Ajax,49
2015/2016,Italy,Napoli,49
2008/2009,Scotland,Celtic,48
2008/2009,Belgium,RSC Anderlecht,48
2009/2010,England,Arsenal,48
2010/2011,Germany,FC Bayern Munich,48
2010/2011,Italy,Inter,48
2011/2012,France,LOSC Lille,48
2013/2014,Germany,FC Bayern Munich,48
2014/2015,Portugal,SL Benfica,48
2008/2009,Spain,Valencia CF,47
2008/2009,Spain,Atlético Madrid,47
2011/2012,Germany,FC Schalke 04,47
2012/2013,England,Arsenal,47
2013/2014,Italy,Juventus,47
2015/2016,England,Manchester City,47
2009/2010,Portugal,SL Benfica,46
2009/2010,Switzerland,FC Luzern,46
2010/2011,Spain,FC Barcelona,46
2014/2015,Germany,FC Bayern Munich,46
2008/2009,Germany,FC Bayern Munich,45
2012/2013,England,Manchester United,45
2014/2015,Italy,Juventus,45
2008/2009,Scotland,Rangers,44
2009/2010,France,LOSC Lille,44
2009/2010,Switzerland,FC Sion,44
2011/2012,Germany,Borussia Dortmund,44
2011/2012,Portugal,SL Benfica,44
2011/2012,Belgium,RSC Anderlecht,44
2011/2012,France,Olympique Lyonnais,44
2011/2012,Switzerland,FC Basel,44
2012/2013,Italy,Napoli,44
2013/2014,Italy,Roma,44
2013/2014,Netherlands,Feyenoord,44
2014/2015,Italy,Napoli,44
2014/2015,England,Manchester City,44
2015/2016,Switzerland,FC Basel,44
2015/2016,Italy,Roma,44
2008/2009,Belgium,,43
2008/2009,England,Manchester United,43
2008/2009,Germany,SV Werder Bremen,43
2009/2010,England,Liverpool,43
2010/2011,Portugal,FC Porto,43
2010/2011,Scotland,Rangers,43
2010/2011,Switzerland,FC Basel,43
2013/2014,Italy,Napoli,43
2013/2014,England,Chelsea,43
2013/2014,Germany,TSG 1899 Hoffenheim,43
2013/2014,Netherlands,FC Twente,43
2013/2014,Netherlands,SC Heerenveen,43
2014/2015,Switzerland,FC Basel,43
2008/2009,Belgium,Standard de Liège,42
2008/2009,Italy,Palermo,42
2009/2010,Scotland,Celtic,42
2009/2010,Italy,Inter,42
2009/2010,Switzerland,Grasshopper Club Zürich,42
2009/2010,Italy,Genoa,42
2009/2010,Spain,RCD Mallorca,42
2010/2011,Italy,Milan,42
2011/2012,France,Paris Saint-Germain,42
2012/2013,Spain,Valencia CF,42
2012/2013,Netherlands,Feyenoord,42
2012/2013,Spain,Atlético Madrid,42
2012/2013,Portugal,SL Benfica,42
2013/2014,Netherlands,Ajax,42
2013/2014,Spain,Athletic Club de Bilbao,42
