Belgium,Belgium Jupiler League,,2008/2009,43,56
Netherlands,Netherlands Eredivisie,,2008/2009,27,27
Poland,Poland Ekstraklasa,,2015/2016,21,19
Portugal,Portugal Liga ZON Sagres,,2011/2012,13,19
Portugal,Portugal Liga ZON Sagres,,2015/2016,34,43
Portugal,Portugal Liga ZON Sagres,,2010/2011,18,24
Portugal,Portugal Liga ZON Sagres,,2008/2009,30,36
Switzerland,Switzerland Super League,,2015/2016,25,31
Germany,Germany 1. Bundesliga,1. FC Kaiserslautern,2011/2012,12,28
Germany,Germany 1. Bundesliga,1. FC Kaiserslautern,2010/2011,25,19
Germany,Germany 1. Bundesliga,1. FC Köln,2011/2012,20,29
Germany,Germany 1. Bundesliga,1. FC Köln,2009/2010,18,29
Germany,Germany 1. Bundesliga,1. FC Köln,2008/2009,14,25
Germany,Germany 1. Bundesliga,1. FC Köln,2014/2015,18,17
Germany,Germany 1. Bundesliga,1. FC Köln,2015/2016,16,18
Germany,Germany 1. Bundesliga,1. FC Köln,2010/2011,30,21
Germany,Germany 1. Bundesliga,1. FC Nürnberg,2012/2013,24,19
Germany,Germany 1. Bundesliga,1. FC Nürnberg,2011/2012,22,25
Germany,Germany 1. Bundesliga,1. FC Nürnberg,2013/2014,16,32
Germany,Germany 1. Bundesliga,1. FC Nürnberg,2010/2011,28,19
Germany,Germany 1. Bundesliga,1. FC Nürnberg,2009/2010,18,23
Germany,Germany 1. Bundesliga,1. FSV Mainz 05,2014/2015,27,19
Germany,Germany 1. Bundesliga,1. FSV Mainz 05,2009/2010,22,14
Germany,Germany 1. Bundesliga,1. FSV Mainz 05,2012/2013,22,19
Germany,Germany 1. Bundesliga,1. FSV Mainz 05,2015/2016,23,18
Germany,Germany 1. Bundesliga,1. FSV Mainz 05,2013/2014,28,17
Germany,Germany 1. Bundesliga,1. FSV Mainz 05,2010/2011,22,16
Germany,Germany 1. Bundesliga,1. FSV Mainz 05,2011/2012,27,26
Scotland,Scotland Premier League,Aberdeen,2014/2015,32,15
Scotland,Scotland Premier League,Aberdeen,2012/2013,18,15
Scotland,Scotland Premier League,Aberdeen,2011/2012,22,16
Scotland,Scotland Premier League,Aberdeen,2013/2014,20,13
Scotland,Scotland Premier League,Aberdeen,2015/2016,30,19
Scotland,Scotland Premier League,Aberdeen,2010/2011,22,21
Scotland,Scotland Premier League,Aberdeen,2009/2010,20,31
Scotland,Scotland Premier League,Aberdeen,2008/2009,22,17
France,France Ligue 1,AC Ajaccio,2013/2014,23,33
France,France Ligue 1,AC Ajaccio,2011/2012,22,24
France,France Ligue 1,AC Ajaccio,2012/2013,19,20
France,France Ligue 1,AC Arles-Avignon,2010/2011,14,31
Switzerland,Switzerland Super League,AC Bellinzona,2009/2010,24,40
Switzerland,Switzerland Super League,AC Bellinzona,2010/2011,21,34
Switzerland,Switzerland Super League,AC Bellinzona,2008/2009,29,23
Portugal,Portugal Liga ZON Sagres,Académica de Coimbra,2009/2010,20,20
Portugal,Portugal Liga ZON Sagres,Académica de Coimbra,2013/2014,13,16
Portugal,Portugal Liga ZON Sagres,Académica de Coimbra,2015/2016,20,28
Portugal,Portugal Liga ZON Sagres,Académica de Coimbra,2010/2011,16,17
Portugal,Portugal Liga ZON Sagres,Académica de Coimbra,2012/2013,22,27
Portugal,Portugal Liga ZON Sagres,Académica de Coimbra,2011/2012,11,12
Portugal,Portugal Liga ZON Sagres,Académica de Coimbra,2014/2015,16,23
Portugal,Portugal Liga ZON Sagres,Académica de Coimbra,2008/2009,18,13
Netherlands,Netherlands Eredivisie,ADO Den Haag,2015/2016,20,22
Netherlands,Netherlands Eredivisie,ADO Den Haag,2012/2013,25,28
Netherlands,Netherlands Eredivisie,ADO Den Haag,2010/2011,36,25
Netherlands,Netherlands Eredivisie,ADO Den Haag,2009/2010,21,28
Netherlands,Netherlands Eredivisie,ADO Den Haag,2011/2012,22,26
Netherlands,Netherlands Eredivisie,ADO Den Haag,2008/2009,21,18
Netherlands,Netherlands Eredivisie,ADO Den Haag,2014/2015,30,23
Netherlands,Netherlands Eredivisie,ADO Den Haag,2013/2014,29,30
France,France Ligue 1,AJ Auxerre,2011/2012,30,28
France,France Ligue 1,AJ Auxerre,2010/2011,26,18
France,France Ligue 1,AJ Auxerre,2009/2010,24,14
France,France Ligue 1,AJ Auxerre,2008/2009,18,12
Netherlands,Netherlands Eredivisie,Ajax,2015/2016,49,12
Netherlands,Netherlands Eredivisie,Ajax,2008/2009,41,9
Netherlands,Netherlands Eredivisie,Ajax,2013/2014,42,9
Netherlands,Netherlands Eredivisie,Ajax,2014/2015,37,11
Netherlands,Netherlands Eredivisie,Ajax,2010/2011,38,9
Netherlands,Netherlands Eredivisie,Ajax,2009/2010,64,4
Netherlands,Netherlands Eredivisie,Ajax,2012/2013,40,10
Netherlands,Netherlands Eredivisie,Ajax,2011/2012,49,14
France,France Ligue 1,Angers SCO,2015/2016,20,15
Poland,Poland Ekstraklasa,Arka Gdynia,2009/2010,14,17
Poland,Poland Ekstraklasa,Arka Gdynia,2010/2011,19,19
Poland,Poland Ekstraklasa,Arka Gdynia,2008/2009,19,17
England,England Premier League,Arsenal,2015/2016,31,11
England,England Premier League,Arsenal,2014/2015,41,14
England,England Premier League,Arsenal,2010/2011,33,15
England,England Premier League,Arsenal,2012/2013,47,23
England,England Premier League,Arsenal,2011/2012,39,17
England,England Premier League,Arsenal,2013/2014,36,11
England,England Premier League,Arsenal,2008/2009,31,16
England,England Premier League,Arsenal,2009/2010,48,15
France,France Ligue 1,AS Monaco,2009/2010,26,14
France,France Ligue 1,AS Monaco,2014/2015,23,10
France,France Ligue 1,AS Monaco,2013/2014,32,14
France,France Ligue 1,AS Monaco,2015/2016,30,19
France,France Ligue 1,AS Monaco,2008/2009,26,23
France,France Ligue 1,AS Monaco,2010/2011,16,17
France,France Ligue 1,AS Nancy-Lorraine,2011/2012,24,24
France,France Ligue 1,AS Nancy-Lorraine,2012/2013,17,26
France,France Ligue 1,AS Nancy-Lorraine,2009/2010,20,26
France,France Ligue 1,AS Nancy-Lorraine,2010/2011,23,21
France,France Ligue 1,AS Nancy-Lorraine,2008/2009,19,19
France,France Ligue 1,AS Saint-Étienne,2012/2013,36,13
France,France Ligue 1,AS Saint-Étienne,2013/2014,36,15
France,France Ligue 1,AS Saint-Étienne,2008/2009,25,23
France,France Ligue 1,AS Saint-Étienne,2014/2015,32,11
France,France Ligue 1,AS Saint-Étienne,2015/2016,25,15
France,France Ligue 1,AS Saint-Étienne,2011/2012,27,20
France,France Ligue 1,AS Saint-Étienne,2010/2011,29,25
France,France Ligue 1,AS Saint-Étienne,2009/2010,13,16
England,England Premier League,Aston Villa,2012/2013,23,28
England,England Premier League,Aston Villa,2010/2011,26,19
England,England Premier League,Aston Villa,2011/2012,20,25
England,England Premier League,Aston Villa,2008/2009,27,21
England,England Premier League,Aston Villa,2014/2015,18,25
England,England Premier League,Aston Villa,2013/2014,22,29
England,England Premier League,Aston Villa,2009/2010,29,16
England,England Premier League,Aston Villa,2015/2016,14,35
Italy,Italy Serie A,Atalanta,2014/2015,22,33
Italy,Italy Serie A,Atalanta,2008/2009,28,17
Italy,Italy Serie A,Atalanta,2012/2013,19,24
Italy,Italy Serie A,Atalanta,2009/2010,24,20
Italy,Italy Serie A,Atalanta,2011/2012,22,14
Italy,Italy Serie A,Atalanta,2015/2016,27,21
Italy,Italy Serie A,Atalanta,2013/2014,28,22
Spain,Spain LIGA BBVA,Athletic Club de Bilbao,2008/2009,28,29
Spain,Spain LIGA BBVA,Athletic Club de Bilbao,2010/2011,32,20
Spain,Spain LIGA BBVA,Athletic Club de Bilbao,2012/2013,22,27
Spain,Spain LIGA BBVA,Athletic Club de Bilbao,2014/2015,28,20
Spain,Spain LIGA BBVA,Athletic Club de Bilbao,2015/2016,35,17
Spain,Spain LIGA BBVA,Athletic Club de Bilbao,2009/2010,34,24
Spain,Spain LIGA BBVA,Athletic Club de Bilbao,2013/2014,42,18
Spain,Spain LIGA BBVA,Athletic Club de Bilbao,2011/2012,29,21
Spain,Spain LIGA BBVA,Atlético Madrid,2008/2009,47,23
Spain,Spain LIGA BBVA,Atlético Madrid,2013/2014,49,10
Spain,Spain LIGA BBVA,Atlético Madrid,2015/2016,33,7
